LoanID,Amount,Term,InterestRate,Income,CreditScore,Age,Default
1,51021.78,60,5.69,49242.67,596,43,0
2,5000.0,48,5.56,20000.0,605,43,0
3,14594.69,12,5.0,67778.61,644,71,0
4,82495.25,60,4.95,27625.81,647,53,0
5,9144.03,12,3.53,54252.89,745,33,1
6,59946.02,60,6.54,185672.85,538,65,0
7,75765.36,48,3.86,148512.39,722,41,0
8,20032.22,24,2.0,189583.25,850,53,0
9,19452.34,12,5.62,132348.2,601,52,0
10,40799.95,24,3.85,34489.78,723,45,0
11,98767.17,48,2.83,293743.17,793,66,0
12,12674.09,12,2.87,22489.55,790,36,0
13,141730.18,36,5.35,128273.94,620,46,0
14,45704.49,36,3.34,20473.29,758,31,1
15,242212.45,36,3.67,31980.66,735,50,0
16,5000.0,48,3.16,112400.7,770,51,0
17,6765.91,36,3.91,69588.58,719,46,1
18,87619.77,12,3.22,28546.55,766,46,0
19,100033.7,36,5.24,65377.03,627,42,0
20,29480.7,12,5.58,68663.8,604,50,1
21,62600.62,48,8.09,65559.39,431,54,0
22,101080.25,24,5.53,172025.0,607,26,0
23,5000.0,60,5.37,24952.7,618,40,0
24,42659.98,36,7.54,47284.76,469,39,0
25,96029.89,60,4.85,20000.0,654,54,0
26,25387.76,24,3.35,66085.24,757,63,0
27,18004.3,48,6.25,111726.43,558,51,0
28,79409.92,48,2.19,129527.93,837,47,0
29,20457.59,24,4.37,20000.0,687,33,1
30,5000.0,60,3.69,77361.07,734,72,0
31,160412.36,36,4.98,145304.51,645,31,0
32,44839.51,12,6.2,34066.01,561,26,0
33,85606.19,48,4.12,300000.0,704,55,0
34,87234.7,24,3.82,89746.15,725,37,1
35,5000.0,60,5.17,20000.0,632,56,1
36,9368.33,36,4.55,52951.63,675,66,0
37,18634.46,60,4.92,46691.05,649,40,1
38,19334.57,36,5.87,57743.46,584,51,0
39,53762.29,12,4.44,168340.5,682,38,0
40,48793.14,12,5.94,91771.29,579,46,1
41,34119.24,24,3.8,20000.0,726,43,0
42,11866.16,24,2.0,77649.48,850,59,0
43,24062.0,36,3.32,123684.25,759,36,0
44,39218.62,36,5.19,20000.0,631,34,0
45,31554.21,36,4.41,31530.25,684,42,0
46,6807.74,36,3.27,103924.36,763,54,0
47,52421.23,12,5.05,207542.21,640,33,0
48,5000.0,24,4.11,20000.0,705,27,1
49,23756.41,24,3.88,112804.41,721,62,0
50,61898.78,48,4.53,169685.02,676,18,0
51,5000.0,24,4.63,39071.19,669,25,0
52,42196.51,24,3.38,120472.08,755,77,1
53,20362.41,60,2.39,47201.33,823,18,0
54,5000.0,60,5.04,60822.53,641,38,0
55,10559.72,48,3.11,83329.74,774,35,0
56,141465.31,36,7.08,156118.66,501,18,0
57,36818.28,48,4.21,250422.36,698,29,0
58,294394.97,48,8.09,43946.93,431,48,0
59,37202.74,12,6.04,26380.4,572,56,0
60,39256.15,24,6.42,151839.86,546,61,1
61,24866.11,12,2.54,113528.87,813,39,1
62,18556.11,24,5.33,90229.78,621,18,0
63,14487.25,48,4.98,126864.83,645,45,1
64,21035.58,24,5.24,47882.8,627,65,0
65,30795.52,36,7.02,90978.7,505,67,0
66,10659.16,36,4.5,178060.48,678,59,0
67,12736.55,48,4.81,39451.47,657,24,0
68,15841.46,60,6.1,120833.62,568,42,0
69,29824.61,36,2.92,52870.09,787,48,0
70,52894.64,48,2.96,147520.86,784,50,0
71,96947.87,12,6.74,167436.46,524,18,1
72,16922.94,60,5.91,62217.69,581,75,0
73,10150.4,36,4.24,81376.53,696,64,1
74,23808.93,48,5.59,33964.7,603,44,0
75,112396.83,48,5.23,96901.14,628,46,0
76,5000.0,12,6.39,20000.0,548,37,1
77,56639.79,12,6.38,95905.32,549,63,0
78,32423.99,60,5.68,107841.33,597,27,0
79,8779.98,36,4.72,78031.74,663,46,0
80,19358.29,48,4.63,36622.99,669,32,1
81,12741.39,60,6.1,165143.02,568,44,0
82,105117.98,60,6.58,36335.45,535,62,0
83,32876.78,12,6.73,185582.88,525,35,0
84,41401.89,48,3.48,76567.9,748,47,0
85,45031.65,24,2.0,252861.53,850,43,0
86,51029.41,12,4.28,132037.94,693,33,0
87,34214.89,48,8.65,38036.45,393,35,0
88,5000.0,60,4.09,107828.37,706,35,1
89,20377.57,60,3.19,124072.2,768,18,1
90,10159.28,36,5.85,82460.99,585,42,1
91,56994.04,24,3.64,67608.37,737,46,1
92,5000.0,12,3.35,171679.97,757,22,0
93,41483.11,36,3.05,33430.91,778,38,0
94,11826.12,36,5.77,74830.33,591,41,0
95,148645.57,24,4.81,300000.0,657,57,0
96,20439.1,12,4.65,76522.79,668,70,0
97,19668.52,12,3.0,74815.81,781,50,1
98,128447.9,60,5.51,20000.0,609,24,0
99,27008.25,12,3.54,165523.58,744,31,0
100,164656.18,36,4.52,150923.2,677,46,0
101,5000.0,60,3.53,53337.74,745,38,0
102,18289.0,12,3.82,170305.0,725,44,0
103,54859.61,24,5.87,48863.91,584,57,0
104,110754.8,36,4.53,52658.14,676,42,0
105,14812.98,48,5.93,75798.65,580,80,0
106,133305.31,24,4.95,36769.07,647,21,0
107,45085.07,24,2.38,42659.21,824,53,0
108,80724.59,12,5.53,113709.07,607,19,0
109,25309.1,60,5.81,20000.0,588,32,1
110,11924.31,60,5.19,76396.58,631,57,0
111,121088.38,36,3.93,110236.56,717,18,0
112,135254.63,12,3.95,100775.38,716,49,1
113,34415.46,60,4.39,164980.17,686,26,0
114,5000.0,48,6.07,22297.85,570,43,1
115,5814.5,12,5.27,20000.0,625,35,0
116,42551.84,12,2.87,41347.35,790,45,0
117,5000.0,60,7.12,211697.95,498,50,0
118,25284.6,24,4.55,60193.64,675,60,1
119,18075.04,12,5.23,114997.31,628,47,0
120,62649.1,24,4.24,110329.77,696,54,0
121,5000.0,36,4.72,39963.83,663,43,0
122,33543.0,36,7.11,22556.02,499,24,0
123,43269.7,60,4.07,46254.01,708,27,0
124,48024.03,36,6.33,94228.8,552,67,0
125,25972.95,60,6.64,72722.5,531,26,1
126,18146.71,60,4.84,78964.98,655,47,0
127,57362.78,24,5.52,35629.45,608,47,1
128,94052.18,24,6.07,74917.38,570,46,0
129,59146.07,36,5.48,20000.0,611,60,1
130,134487.7,24,5.99,46411.7,576,35,0
131,63162.0,12,2.67,22709.16,804,41,0
132,72327.43,48,4.46,76622.94,681,39,1
133,9190.32,12,5.14,60228.43,634,18,1
134,27196.69,12,3.82,41281.6,725,33,0
135,33184.79,60,5.19,32383.26,631,60,0
136,14805.42,48,5.29,52987.0,624,75,0
137,37596.04,60,3.56,43298.34,743,59,1
138,17180.32,24,5.93,87972.54,580,50,0
139,58157.88,24,6.41,141104.43,547,24,0
140,31771.14,48,3.96,104878.76,715,47,0
141,30698.96,36,4.68,113277.01,666,46,0
142,205653.53,24,4.69,20000.0,665,80,0
143,24915.62,12,5.43,68058.35,614,18,1
144,22494.01,48,4.05,78729.46,709,26,0
145,19180.61,48,6.92,125955.26,512,63,0
146,112570.47,24,7.73,134656.09,456,68,0
147,34330.81,24,5.49,162797.04,610,49,0
148,45816.35,60,4.01,44054.39,712,39,1
149,9972.48,60,3.11,48481.55,774,53,0
150,38928.97,12,4.12,20000.0,704,77,1
151,16054.92,48,6.26,25402.56,557,35,0
152,65584.75,36,6.25,89377.85,558,51,0
153,89347.06,36,3.15,79886.4,771,41,0
154,62730.1,48,3.6,86584.7,740,50,0
155,65511.9,12,4.12,85588.85,704,56,0
156,35920.66,60,3.57,20000.0,742,36,0
157,62260.24,60,4.68,138133.25,666,59,0
158,27468.53,60,5.21,59700.66,629,37,1
159,52704.3,36,5.16,78550.08,633,53,0
160,14990.38,36,3.99,113642.76,713,18,1
161,5000.0,12,4.57,221166.97,673,56,0
162,26676.85,36,7.77,109893.55,453,31,1
163,30974.22,24,3.63,35411.0,738,37,0
164,14813.08,36,4.07,254598.43,708,18,0
165,65044.29,60,4.44,69155.43,682,41,0
166,5000.0,12,2.87,71436.81,790,64,0
167,12599.55,48,6.09,166286.2,569,21,1
168,69028.48,48,6.47,22800.09,543,47,0
169,28734.82,12,4.18,98551.15,700,18,0
170,61087.09,24,6.01,121074.76,574,42,0
171,41907.02,48,2.49,63681.57,816,57,0
172,150504.49,60,5.93,120292.59,580,43,0
173,45539.77,48,5.96,215593.2,578,56,0
174,5000.0,48,5.51,20000.0,609,37,0
175,21760.97,60,5.35,34383.36,620,80,0
176,7719.41,36,5.45,20000.0,613,61,0
177,129269.74,24,5.3,21788.93,623,48,0
178,5491.44,60,5.45,55831.25,613,70,0
179,24527.19,60,7.18,48177.98,494,65,0
180,12815.58,12,4.18,43237.8,700,36,0
181,93775.1,24,5.55,165048.89,606,52,0
182,18449.41,36,5.14,168676.81,634,40,0
183,240754.35,60,6.68,194879.86,528,58,0
184,5000.0,36,7.13,76110.35,497,68,0
185,6864.17,60,5.05,300000.0,640,22,0
186,12721.31,60,2.65,100780.84,805,46,0
187,83328.47,12,2.7,92007.35,802,66,1
188,105399.13,48,6.23,97499.82,559,56,1
189,5000.0,24,6.0,100645.1,575,51,0
190,5000.0,12,4.66,51004.35,667,61,0
191,68237.77,36,8.79,112097.11,383,24,1
192,7156.12,60,5.77,159062.63,591,53,0
193,7135.73,60,4.59,20000.0,672,63,0
194,5000.0,24,5.24,88048.56,627,53,0
195,5000.0,12,7.67,20000.0,460,26,1
196,15304.22,12,7.57,140044.97,467,39,0
197,5000.0,36,7.0,83634.58,506,45,0
198,23012.89,12,5.03,71691.68,642,32,1
199,89420.76,12,6.13,20000.0,566,31,0
