Date,Ticker,Open,High,Low,Close,Volume
2022-01-03,AAPL,100.53,102.86,100.29,101.32,8204212
2022-01-04,AAPL,102.0,102.48,100.63,101.18,1103355
2022-01-05,AAPL,98.81,99.75,96.33,97.12,5721339
2022-01-06,AAPL,97.18,97.8,95.21,95.78,9242680
2022-01-07,AAPL,97.56,98.48,97.19,97.47,5056518
2022-01-10,AAPL,98.42,98.8,96.55,97.68,7249859
2022-01-11,AAPL,95.7,96.51,94.99,96.32,1564685
2022-01-12,AAPL,96.88,97.63,95.8,96.31,6517209
2022-01-13,AAPL,98.43,99.46,95.27,97.09,3230919
2022-01-14,AAPL,97.38,98.2,96.98,97.28,1996107
2022-01-17,AAPL,95.67,96.81,94.01,94.78,3121690
2022-01-18,AAPL,95.54,99.5,94.79,98.58,7906726
2022-01-19,AAPL,96.45,97.65,93.91,97.54,1874371
2022-01-20,AAPL,95.97,97.95,95.47,96.52,7216204
2022-01-21,AAPL,95.55,97.56,95.3,96.44,9306461
2022-01-24,AAPL,96.05,97.42,95.22,97.1,3484413
2022-01-25,AAPL,95.75,97.61,93.21,97.33,5422880
2022-01-26,AAPL,96.23,96.39,95.4,95.79,7409907
2022-01-27,AAPL,96.84,96.87,95.0,95.06,3995765
2022-01-28,AAPL,99.93,101.36,98.7,99.77,6031595
2022-01-31,AAPL,100.57,101.95,99.24,101.77,3558231
2022-02-01,AAPL,102.1,103.34,101.32,101.71,7314127
2022-02-02,AAPL,102.08,103.77,102.07,102.87,5336787
2022-02-03,AAPL,99.65,102.13,98.11,101.2,8613287
2022-02-04,AAPL,99.38,100.47,98.35,99.91,3204664
2022-02-07,AAPL,99.25,102.11,99.1,101.1,6184502
2022-02-08,AAPL,98.14,100.27,97.9,99.97,7041495
2022-02-09,AAPL,100.58,102.9,99.41,101.03,5327576
2022-02-10,AAPL,102.83,103.51,100.14,101.13,6072148
2022-02-11,AAPL,102.93,103.82,101.28,102.26,9170528
2022-02-14,AAPL,107.47,108.25,102.58,102.9,7105525
2022-02-15,AAPL,104.25,106.68,102.85,105.31,5103022
2022-02-16,AAPL,102.57,103.57,101.58,101.62,6709840
2022-02-17,AAPL,102.46,103.29,102.1,102.66,7979451
2022-02-18,AAPL,103.05,104.61,101.79,102.25,7545535
2022-02-21,AAPL,102.88,104.07,101.17,102.59,2105534
2022-02-22,AAPL,105.78,107.78,104.76,106.65,3676188
2022-02-23,AAPL,106.91,107.61,104.28,105.8,6491590
2022-02-24,AAPL,109.64,112.19,109.39,111.09,9837590
2022-02-25,AAPL,110.0,112.07,108.73,109.47,1118834
2022-02-28,AAPL,111.1,115.83,110.58,114.0,9849851
2022-03-01,AAPL,115.94,117.34,114.07,114.24,1449395
2022-03-02,AAPL,116.44,117.75,114.59,117.18,4695961
2022-03-03,AAPL,117.3,119.14,116.91,117.72,1803328
2022-03-04,AAPL,114.11,115.38,111.68,114.71,9929860
2022-03-07,AAPL,113.35,117.85,111.9,117.0,1144356
2022-03-08,AAPL,113.5,115.92,112.95,115.23,6738852
2022-03-09,AAPL,113.32,113.82,109.76,109.9,4693305
2022-03-10,AAPL,112.39,114.17,111.75,113.7,1049115
2022-03-11,AAPL,112.52,114.66,110.5,111.94,6246880
2022-03-14,AAPL,113.05,114.31,111.75,113.8,3248988
2022-03-15,AAPL,112.86,114.65,112.33,113.64,4353597
2022-03-16,AAPL,113.57,114.36,112.0,113.02,3989475
2022-03-17,AAPL,113.6,116.12,111.44,113.01,8326434
2022-03-18,AAPL,113.24,115.23,112.62,114.56,2355531
2022-03-21,AAPL,114.62,115.09,112.08,112.37,1898320
2022-03-22,AAPL,116.11,117.09,110.28,110.71,5246238
2022-03-23,AAPL,112.43,113.91,110.07,112.99,2039458
2022-03-24,AAPL,116.41,116.7,113.21,113.57,3276360
2022-03-25,AAPL,117.16,118.53,116.92,118.02,7646705
2022-03-28,AAPL,114.28,115.67,113.92,115.4,7200646
2022-03-29,AAPL,114.07,115.01,112.39,114.65,1448345
2022-03-30,AAPL,111.76,114.93,109.98,113.24,7742471
2022-03-31,AAPL,114.99,115.59,111.93,113.67,6304509
2022-04-01,AAPL,111.08,114.9,109.57,113.94,6747372
2022-04-04,AAPL,113.59,115.17,113.53,114.63,3114792
2022-04-05,AAPL,111.47,114.98,111.31,114.17,6528983
2022-04-06,AAPL,110.13,112.81,108.64,112.63,8686841
2022-04-07,AAPL,109.77,110.61,108.73,109.27,5010912
2022-04-08,AAPL,112.62,113.35,108.62,109.06,9511010
